solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 004, 0065, 39, 0, 0, 0, 0.289, NA, 0, 0, 0, 0, 0.00, 0.289
or-tools, 004, 0065, NA, NA, 0, 0, 0.182, 0, NA, NA, 0, 0, 0.012, 0.194
chuffed, 004, 0066, NA, NA, 0, 0, 0.717, 0, NA, 0, 0, 0, 0.008, 0.725
kissat, 004, 0066, 39, 0, 0, 0, 0.246, NA, 0, 0, 0, 0, 0.00, 0.246
or-tools, 004, 0066, NA, NA, 0, 0, 0.185, 0, NA, NA, 0, 0, 0.013, 0.198
chuffed, 004, 0067, NA, NA, 0, 0, 0.421, 0, NA, 0, 0, 0, 0.006, 0.427
kissat, 004, 0067, 39, 0, 0, 0, 0.235, NA, 0, 0, 0, 0, 0.00, 0.235
or-tools, 004, 0067, NA, NA, 0, 0, 0.187, 0, NA, NA, 0, 0, 0.014, 0.201
chuffed, 004, 0068, NA, NA, 0, 0, 0.376, 0, NA, 0, 0, 0, 0.008, 0.384
kissat, 004, 0068, 39, 0, 0, 0, 0.263, NA, 0, 0, 0, 0, 0.00, 0.263
or-tools, 004, 0068, NA, NA, 0, 0, 0.193, 0, NA, NA, 0, 0, 0.013, 0.20600000000000002
chuffed, 004, 0069, NA, NA, 0, 0, 0.476, 0, NA, 0, 0, 0, 0.006, 0.482
kissat, 004, 0069, 39, 0, 0, 0, 0.262, NA, 0, 0, 0, 0, 0.00, 0.262
or-tools, 004, 0069, NA, NA, 0, 0, 0.155, 0, NA, NA, 0, 0, 0.01, 0.165
chuffed, 004, 0070, NA, NA, 0, 0, 0.536, 0, NA, 0, 0, 0, 0.005, 0.541
kissat, 004, 0070, 39, 0, 0, 0, 0.278, NA, 0, 0, 0, 0, 0.00, 0.278
or-tools, 004, 0070, NA, NA, 0, 0, 0.144, 0, NA, NA, 0, 0, 0.013, 0.157
chuffed, 004, 0071, NA, NA, 0, 0, 0.449, 0, NA, 0, 0, 0, 0.005, 0.454
