solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 003, -069, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.014, 0.09999999999999999
chuffed, 003, -070, NA, NA, 0, 0, 0.255, 0, NA, 0, 0, 0, 0.011, 0.266
kissat, 003, -070, 133, 0, 0, 0, 0.097, NA, 0, 0, 0, 0, 0.00, 0.097
or-tools, 003, -070, NA, NA, 0, 0, 0.076, 0, NA, NA, 0, 0, 0.013, 0.089
chuffed, 003, -071, NA, NA, 0, 0, 0.25, 0, NA, 0, 0, 0, 0.009, 0.259
kissat, 003, -071, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -071, NA, NA, 0, 0, 0.107, 0, NA, NA, 0, 0, 0.018, 0.125
chuffed, 003, -072, NA, NA, 0, 0, 0.239, 0, NA, 0, 0, 0, 0.009, 0.248
kissat, 003, -072, 133, 0, 0, 0, 0.099, NA, 0, 0, 0, 0, 0.00, 0.099
or-tools, 003, -072, NA, NA, 0, 0, 0.08, 0, NA, NA, 0, 0, 0.013, 0.093
chuffed, 003, -073, NA, NA, 0, 0, 0.268, 0, NA, 0, 0, 0, 0.01, 0.278
kissat, 003, -073, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -073, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.015, 0.097
chuffed, 003, -074, NA, NA, 0, 0, 0.231, 0, NA, 0, 0, 0, 0.015, 0.246
kissat, 003, -074, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -074, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.013, 0.097
chuffed, 003, -075, NA, NA, 0, 0, 0.246, 0, NA, 0, 0, 0, 0.009, 0.255
kissat, 003, -075, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -075, NA, NA, 0, 0, 0.115, 0, NA, NA, 0, 0, 0.016, 0.131
chuffed, 003, -076, NA, NA, 0, 0, 0.231, 0, NA, 0, 0, 0, 0.009, 0.24000000000000002
kissat, 003, -076, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -076, NA, NA, 0, 0, 0.07, 0, NA, NA, 0, 0, 0.012, 0.082
chuffed, 003, -077, NA, NA, 0, 0, 0.263, 0, NA, 0, 0, 0, 0.01, 0.273
kissat, 003, -077, 133, 0, 0, 0, 0.097, NA, 0, 0, 0, 0, 0.00, 0.097
