solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 003, -049, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -049, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.014, 0.11
chuffed, 003, -050, NA, NA, 0, 0, 0.082, 0, NA, 0, 0, 0, 0.003, 0.085
kissat, 003, -050, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -050, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.014, 0.107
chuffed, 003, -051, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -051, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -051, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.015, 0.113
chuffed, 003, -052, NA, NA, 0, 0, 0.082, 0, NA, 0, 0, 0, 0.004, 0.08600000000000001
kissat, 003, -052, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -052, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.014, 0.107
chuffed, 003, -053, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -053, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -053, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.015, 0.108
chuffed, 003, -054, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -054, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -054, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.015, 0.11
chuffed, 003, -055, NA, NA, 0, 0, 0.077, 0, NA, 0, 0, 0, 0.003, 0.08
kissat, 003, -055, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -055, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.017, 0.119
chuffed, 003, -056, NA, NA, 0, 0, 0.083, 0, NA, 0, 0, 0, 0.003, 0.08600000000000001
kissat, 003, -056, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -056, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.017, 0.119
chuffed, 003, -057, NA, NA, 0, 0, 0.077, 0, NA, 0, 0, 0, 0.004, 0.081
kissat, 003, -057, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -057, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.016, 0.116
chuffed, 003, -058, NA, NA, 0, 0, 0.084, 0, NA, 0, 0, 0, 0.003, 0.08700000000000001
kissat, 003, -058, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -058, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.019, 0.11900000000000001
chuffed, 003, -059, NA, NA, 0, 0, 0.068, 0, NA, 0, 0, 0, 0.004, 0.07200000000000001
kissat, 003, -059, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -059, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.017, 0.117
chuffed, 003, -060, NA, NA, 0, 0, 0.073, 0, NA, 0, 0, 0, 0.003, 0.076
kissat, 003, -060, 133, 0, 0, 0, 0.09, NA, 0, 0, 0, 0, 0.00, 0.09
or-tools, 003, -060, NA, NA, 0, 0, 0.107, 0, NA, NA, 0, 0, 0.015, 0.122
chuffed, 003, -061, NA, NA, 0, 0, 0.074, 0, NA, 0, 0, 0, 0.003, 0.077
kissat, 003, -061, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -061, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.015, 0.105
chuffed, 003, -062, NA, NA, 0, 0, 0.071, 0, NA, 0, 0, 0, 0.004, 0.075
kissat, 003, -062, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -062, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.018, 0.116
chuffed, 003, -063, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -063, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -063, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.017, 0.119
chuffed, 003, -064, NA, NA, 0, 0, 0.081, 0, NA, 0, 0, 0, 0.003, 0.084
kissat, 003, -064, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -064, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.015, 0.11699999999999999
chuffed, 003, -065, NA, NA, 0, 0, 0.072, 0, NA, 0, 0, 0, 0.003, 0.075
kissat, 003, -065, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -065, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.016, 0.114
chuffed, 003, -066, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.003, 0.078
kissat, 003, -066, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -066, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.015, 0.103
chuffed, 003, -067, NA, NA, 0, 0, 0.082, 0, NA, 0, 0, 0, 0.002, 0.084
kissat, 003, -067, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -067, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.019, 0.12000000000000001
chuffed, 003, -068, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.002, 0.077
kissat, 003, -068, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -068, NA, NA, 0, 0, 0.105, 0, NA, NA, 0, 0, 0.014, 0.119
chuffed, 003, -069, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.003, 0.078
kissat, 003, -069, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -069, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.011, 0.103
chuffed, 003, -070, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.003, 0.078
kissat, 003, -070, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -070, NA, NA, 0, 0, 0.087, 0, NA, NA, 0, 0, 0.014, 0.10099999999999999
chuffed, 003, -071, NA, NA, 0, 0, 0.072, 0, NA, 0, 0, 0, 0.003, 0.075
kissat, 003, -071, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -071, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.013, 0.103
chuffed, 003, -072, NA, NA, 0, 0, 0.08, 0, NA, 0, 0, 0, 0.003, 0.083
kissat, 003, -072, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -072, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.01, 0.09599999999999999
chuffed, 003, -073, NA, NA, 0, 0, 0.077, 0, NA, 0, 0, 0, 0.003, 0.08
kissat, 003, -073, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -073, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.011, 0.09699999999999999
chuffed, 003, -074, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.004, 0.08
kissat, 003, -074, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -074, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.012, 0.112
chuffed, 003, -075, NA, NA, 0, 0, 0.079, 0, NA, 0, 0, 0, 0.004, 0.083
kissat, 003, -075, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -075, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.013, 0.108
chuffed, 003, -076, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.004, 0.08
kissat, 003, -076, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -076, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.013, 0.108
chuffed, 003, -077, NA, NA, 0, 0, 0.078, 0, NA, 0, 0, 0, 0.003, 0.081
kissat, 003, -077, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -077, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.014, 0.113
chuffed, 003, -078, NA, NA, 0, 0, 0.081, 0, NA, 0, 0, 0, 0.004, 0.085
kissat, 003, -078, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -078, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.015, 0.111
